name,url,Affiliation,Also known as,Alternative names,Author,Born,Budget,Cover artist,Developer,Died,Director(s),Distinction,Distinction(s),Distributor(s),Eye colour,Family members,Feather colour,Feathers,Flowers,Followed by,Gender,Genre,Gross box office,Hair colour,Height of average adult,Information,Interior artist,Known affected,Latest version,Leaves,Length of average adult,Loyalty,Ministry of Magic Classification,Mortality,Music by,Narrator,Native to,Number,Occupation,Pages,Platforms,Preceded by,Producer(s),Provoked by,Publisher,Rarity,Rating,Related to,Release date,Release date(s),Released,Run-time,Sentience,Set,Skin colour,Species,Star(s),Status,Stem,Symptoms,Type,Updated,Wingspan of average adult,Writer(s)
Screech owl,https://harrypotter.fandom.com/wiki/Screech_owl,Wizardkind,,,,,,,,,,Extremely agile,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Owl,,,,,,,,,,Extant,,,,,,
Short-eared owl,https://harrypotter.fandom.com/wiki/Short-eared_owl,,,,,,,,,,,,,,Yellow,,Brownish grey and white,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Owl,,,,,,,,,,Extant,,,,,,
Snowy owl,https://harrypotter.fandom.com/wiki/Snowy_owl,,,,,,,,,,,,,,YellowAmber,,White,,,,,,,,Various,,,,,,,,,,,,North America,,,,,,,,,,,,,,,,,,,,,Extant,,,,,125–150 cm (49–59 in),
Spectacled owl,https://harrypotter.fandom.com/wiki/Spectacled_owl,,,,,,,,,,,,,,Yellow,,Black and white,,,,,,,,,,,,,,,,,Mortal,,,United States of AmericaTropical areas,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Spot-Bellied Eagle Owlet,https://harrypotter.fandom.com/wiki/Spot-Bellied_Eagle_Owlet,,,,,,,,,,,,,,Black,,White and grey (owlet)Brown (grown up),,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Eagle owl,,,,,,,,,,Extant,,,,,,
Spot-Bellied Owl,https://harrypotter.fandom.com/wiki/Spot-Bellied_Owl,,,,,,,,,,,,,,Grey,,White and grey,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Owl,,,,,,,,,,Extant,,,,,,
Tawny owl,https://harrypotter.fandom.com/wiki/Tawny_owl,Wizardkind,,,,,,,,,,Excellent hearing'Twit-tawoo' call,,,,,TawnySlightly brown,,,,,,,,,,,,,,,,,Mortal,,,Eurasia,,,,,,,,,,,Brown owlOwl,,,,,,,,,,Extant,,,,,,
Peacock,https://harrypotter.fandom.com/wiki/Peacock,,,,,,,,,,,Large colourful plumagePiercing call,,,Black,,Colourful (mainly blue)Albino (Lucius' Peacock),,,,,,,,,,,,,,,,,Mortal,,,Asia,,,,,,,,,,,Bird,,,,,,,,,,Extant,,,,,,
Albino peacock,https://harrypotter.fandom.com/wiki/Albino_peacock,,,,,Pre 1997,,,,,,,,,Black,,,White,,,Male,,,,,,,,,,,Lucius Malfoy (owner),,,,,,,,,,,,,,,,,,,,,,,,Peacock,,,,,,,,
Pheasant,https://harrypotter.fandom.com/wiki/Pheasant,,,,,,,,,,,Brilliant plumage,,,,,,,,,,,,,,,,,,,,,,Mortal,,,Great Britain,,,,,,,,,,,Peacock,,,,,,,,,,Extant,,,,,,
Rat,https://harrypotter.fandom.com/wiki/Rat,,,,,,,,,,,Small rodentsRegarded as verminous pestsKept as pets,,,Black or red,,,,,,,,,Various,,,,,,,,,,Mortal,,,,,,,,,,,,,,Mouse,,,,,,,Light,,,Extant,,,,,,
Albino Rat,https://harrypotter.fandom.com/wiki/Albino_Rat,,,,,,,,,,,Uncommonly intelligent,,,Red (lack of pigment),,,,,,,,,White (lack of pigment),,,,,,,,,,Mortal,,,Scotland,,,,,,,,,,,RatGiant Albino Rat,,,,,,,Pink (lack of pigment),,,Extant,,,,,,
Black Rat,https://harrypotter.fandom.com/wiki/Black_Rat,,,,,,,,,,,,,,Black,,,,,,,,,Black,,,,,,,,,,Mortal,,,,,,,,,,,,,,Rat,,,,,,,,,,Extant,,,,,,
Black and White Rat,https://harrypotter.fandom.com/wiki/Black_and_White_Rat,Wizardkind,,,,,,,,,,,,,Black,,,,,,,,,Black and white,,,,,,,,,,Mortal,,,,,,,,,,,,,,Rat,,,,,,,,,,Extant,,,,,,
Brown Rat,https://harrypotter.fandom.com/wiki/Brown_Rat,,,,,,,,,,,,,,,,,,,,,,,Brown,,,,,,,,,,Mortal,,,,,,,,,,,,,,Rat,,,,,,,,,,Extant,,,,,,
Grey rat,https://harrypotter.fandom.com/wiki/Grey_rat,Wizardkind,,,,,,,,,,,,,Black,,,,,,,,,Grey,,,,,,,,,,Mortal,,,,,,,,,,,,,,Rat,,,,,,,,,,Extant,,,,,,
Rabbit,https://harrypotter.fandom.com/wiki/Rabbit,,,Bunny,,,,,,,,Small mammalsHerbivorousPrey animals,,,Black,,,,,,,,,Various,,,,,,,,,,Mortal,,,Worldwide,,,,,,,,,,,Hare,,,,,,,,,,Extant,,,,,,
Lop-Eared Rabbit,https://harrypotter.fandom.com/wiki/Lop-Eared_Rabbit,,,,,,,,,,,Drooping ears,,,Black,,,,,,,,,"White, brown, grey or black",,,,,,,,,,Mortal,,,,,,,,,,,,,,Rabbit,,,,,,,,,,Extant,,,,,,
Wild Rabbit,https://harrypotter.fandom.com/wiki/Wild_Rabbit,,,,,,,,,,,,,,Varies,,,,,,,,,Varies,,,,,,,,,,Mortal,,,,,,,,,,,,,,Rabbit,,,,,,,,,,Extant,,,,,,
Raven,https://harrypotter.fandom.com/wiki/Raven,,,,,,,,,,,BlackHooked beak,,,Black,,Black,,,,,,,,,,,,,,65cm,,,Mortal,,,Worldwide,,,,,,,,,,,CrowRook,,,,,,,,,,Extant,,,,,1.2 - 1.5m,
Scottish stag,https://harrypotter.fandom.com/wiki/Scottish_stag,,,,,,,,,,,Impressive horns,,,,,,,,,,,,Brown,,,,,,,,,,Mortal,,,Scotland,,,,,,,,,,,Deer,,,,,,,,,,Extant,,,,,,
Slug,https://harrypotter.fandom.com/wiki/Slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortal,,,Worldwide,,,,,,,,,,,Snail,,,,,,,,,,Extant,,,,,,
Snail,https://harrypotter.fandom.com/wiki/Snail,,,,,,,,,,,Shelled gastropods,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,StreelerSlugsWhelkLimpet,,,,,,,,,,Extant,,,,,,
Snake,https://harrypotter.fandom.com/wiki/Snake,Salazar SlytherinSlytherin HouseHorned Serpent HouseDark Arts,,Serpent,,,,,,,,LeglessCarnivorousSometimes venomous,,,Various (mostly yellow),,,,,,,,,,,,,,,,Varies,,,Mortal,,,Various,,,,,,,,,,,Lizards,,,,,,,Various,,,Extant,,,,,,
Adder,https://harrypotter.fandom.com/wiki/Adder,,,,,,,,,,,Kept as pets,,,,,,,,,,,,,,,,,,,,,,Mortal,,,Europe,,,,,,,,,,,Snake,,,,,,,Brown,,,Extant,,,,,,
Arizona coral snake,https://harrypotter.fandom.com/wiki/Arizona_coral_snake,,,,,,,,,,,StripedVenomous,,,,,,,,,,,,,,,,,,,,,,Mortal,,,Northwest Mexico,,,,,,,,,,,Snake,,,,,,,"Red, white and black",,,Extant,,,,,,
Black Mamba,https://harrypotter.fandom.com/wiki/Black_Mamba,,,,,,,,,,,Extremely poisonous venom,,,Black,,,,,,,,,,,,,,,,,,,Mortal,,,Africa,,,,,,,,,,,Snake,,,,,,,Black,,,Extant,,,,,,
Boomslang,https://harrypotter.fandom.com/wiki/Boomslang,,,,,,,,,,,Venomous,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Snake,,,,,,,,,,Extant,,,,,,
Boa constrictor,https://harrypotter.fandom.com/wiki/Boa_constrictor,,,Boa,,,,,,,,"Large, heavy bodiedPredatory/carnivorous",,,Beady,,,,,,,,,,,,,,,,Around 13 feet,,,Mortal,,,Brazil,,,,,,,,,,,PythonGrass SnakeKing CobraRattlesnakeBoomslang,,,,,,,Brown,,,Extant,,,,,,
Cobra,https://harrypotter.fandom.com/wiki/Cobra,,,,,,,,,,,Flares it neck into a hood when threatenedHighly venomous,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,SnakesKing Cobra,,,,,,,Varies,,,Extant,,,,,,
Common adder,https://harrypotter.fandom.com/wiki/Common_adder,,,,,,,,,,,Bites when disturbedVenomousCarnivorous,,,Brown,,,,,,,,,,,,,,,,,,Non-magical,,,,Europe and Asia,,,,,,,,,,,Snake,,,,,,,Brown,,,Extant,,,,,,
Grass Snake,https://harrypotter.fandom.com/wiki/Grass_Snake,,,,,,,,,,,Lives in grass,,,,,,,,,,,,,,,,,,,,,,Mortal,,,Great Britain,,,,,,,,,,,Snake,,,,,,,,,,Extant,,,,,,
Green snake,https://harrypotter.fandom.com/wiki/Green_snake,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Snake,,,,,,,Green,,,Extant,,,,,,
King Cobra,https://harrypotter.fandom.com/wiki/King_Cobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Cobra,,,,,,,,,,Extant,,,,,,
Python,https://harrypotter.fandom.com/wiki/Python,,,Snake,,,,,,,,Constricting snakes,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Boa constrictorBoomslang,,,,,,,,,,Extant,,,,,,
Rattlesnake,https://harrypotter.fandom.com/wiki/Rattlesnake,,,,,,,,,,,Highly venomousMake rattling soundPredatory and carnivorous,,,,,,,,,,,,,,,,,,,,,,Mortal,,,United States of America,,,,,,,,,,,Snakes,,,,,,,Brown,,,Extant,,,,,,
Spider,https://harrypotter.fandom.com/wiki/Spider,,,,,,,,,,,Eight legs and eyesPincersCarnivorousSome species venomousInstinctive and mortal fear of Basilisks,,,Black,,,,,,,,,Varies,Varies,,,,,,Varies,,Varies,Mortal,,,Worldwide,,,,,,,,,,,AcromantulaScorpion,,,,,,,,,,Extant,,,,,,
Black widow,https://harrypotter.fandom.com/wiki/Black_widow,,,,,,,,,,,Spins webs stronger than steelDistinct red markings,,,Red,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Spider,,,,,,,Black with red markings,,,Extant,,,,,,
Brown Recluse,https://harrypotter.fandom.com/wiki/Brown_Recluse,,,,,,,,,,,Venomous,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Spider,,,,,,,Brown,,,Extant,,,,,,
Funnelweb spider,https://harrypotter.fandom.com/wiki/Funnelweb_spider,,,,,,,,,,,Massive fangsUgly appearancePoisonous bite,,,Red,,,,,,,,,,,,,,,,,,,Mortal,,,Worldwide,,,,,,,,,,,Spider,,,,,,,YellowBlue-grey,,,Extant,,,,,,
Redback spider,https://harrypotter.fandom.com/wiki/Redback_spider,,,,,,,,,,,Red colourationVenom can paralyse victims,,,Red,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Spider,,,,,,,Red,,,Extant,,,,,,
Tarantula,https://harrypotter.fandom.com/wiki/Tarantula,,,,,,,,,,,Large spidersHairy bodiesVenomous fangs,,,Black,,,,,,,,,Black and brown,,,,,,,,,,Mortal,,,Worldwide,,,,,,,,,,,Spider,,,,,,,,,,Extant,,,,,,
Whitetail Spider,https://harrypotter.fandom.com/wiki/Whitetail_Spider,,,,,,,,,,,Large sizeLethal bite,,,Black,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Spider,,,,,,,Blue,,,Extant,,,,,,
Toad,https://harrypotter.fandom.com/wiki/Toad,Wizardkind,,,,,,,,,,"Very similar to frogs, Bumpy, warty skin",,,Various,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,FrogsNewtsSalamandersBasilisks,,,,,,,Various,,,Extant,,,,,,
Common Toad,https://harrypotter.fandom.com/wiki/Common_Toad,Magical Menagerie,,,,,,,,,,Warty skin,,,Black,,,,,,,,,,,,,,,,,,,Mortal,,,British Isles,,,,,,,,,,,Toad,,,,,,,Green to brown,,,,,,,,,
Crested Toad,https://harrypotter.fandom.com/wiki/Crested_Toad,Magical Menagerie,,,,,,,,,,Upturned snout,,,Golden,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Toad,,,,,,,Sandy brown,,,Extant,,,,,,
Harlequin Toad,https://harrypotter.fandom.com/wiki/Harlequin_Toad,Magical Menagerie,,,,,,,,,,Colourful markings,,,Black,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Toad,,,,,,,Bright yellowBlackRedGreen,,,Extant,,,,,,
Horned toad,https://harrypotter.fandom.com/wiki/Horned_toad,Magical Menagerie,,,,,,,,,,Horned,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Toad,,,,,,,,,,Extant,,,,,,
Natterjack Toad,https://harrypotter.fandom.com/wiki/Natterjack_Toad,Magical Menagerie,,,,,,,,,,A yellow line down the middle of their backs,,,,,,,,,,,,,,,,,,,,,,Mortal,,,Europe,,,,,,,,,,,Toad,,,,,,,Sandy yellow,,,Extant,,,,,,
Western Green Toad,https://harrypotter.fandom.com/wiki/Western_Green_Toad,Magical Menagerie,,,,,,,,,,NocturnalSmall in size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toad,,,,,,,Green or yellow with black spots,,,Extant,,,,,,
Tropical bird,https://harrypotter.fandom.com/wiki/Tropical_bird,Sirius Black,,,,,,,,,,Tropical,,,,,Colourful,,,,,,,,,,,,,,,,,Mortal,,,Somewhere tropical,,,,,,,,,,,Bird,,,,,,,,,,Extant,,,,,,
Wasp,https://harrypotter.fandom.com/wiki/Wasp,,,,,,,,,,,Possesses venomous sting,,,Blue,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Tarantula hawkBeeVampyr MospAnt,,,,,,,"Yellow and black striped, purple around face",,,Extant,,,,,,
Tarantula hawk,https://harrypotter.fandom.com/wiki/Tarantula_hawk,,,Tarantula hawk wasp,,,,,,,,Hunts tarantulasPoisonous,,,Red,,,,,,,,,,,,,,,,,,,Mortal,,,Worldwide,,,,,,,,,,,Wasp,,,,,,,Red,,,Extant,,,,,,
Wild Boar,https://harrypotter.fandom.com/wiki/Wild_Boar,,,,,,,,,,,Invasive species,,,,,,,,,,,,Brown,,,,,,,,,,Mortal,,,,,,,,,,,,,,Pig,,,,,,,Pink,,,Extant,,,,,,
Wolf,https://harrypotter.fandom.com/wiki/Wolf,,,,,,,,,,,,,,Grey or red,,,,,,,,,"Grey, black or white",,,,,,,,,,Mortal,,,,,,,,,,,,,,DogWerewolf,,,,,,,,,,Extant,,,,,,
The Grim (wolf),https://harrypotter.fandom.com/wiki/The_Grim_(wolf),,The Grim,,,Before 1890,,,,1890 or 1891,,,,,Red,The White WolfKin,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolf,,,,,,,,
The White Wolf,https://harrypotter.fandom.com/wiki/The_White_Wolf,,The White Wolf,,,Before 1890,,,,1890 or 1891,,,,,Red,The GrimKin,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolf,,,,,,,,
Fantastic Beasts and Where to Find Them,https://harrypotter.fandom.com/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(companion_book),,,,J. K. Rowling (as Newt Scamander),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comic Relief charityBloomsbury (British)Arthur A. Levine Books (American),,,,12 March 2001,,,,,,,,,,,,,,,
Harry Potter and the Goblet of Fire,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Goblet_of_Fire,,,,J. K. Rowling,,,Giles Greenfield (UK)Jonny Duddle (UK) (Children's Edition redesign)Mary GrandPré (US)Kazu Kibuishi (US) (15th Anniversary Edition)Olly Moss (Pottermore eBook),,,,,,,,,,,,Harry Potter and the Order of the Phoenix,,,,,,,Mary GrandPré (US),,,,,,,,,Stephen Fry (UK)Jim Dale (US),,,,636 (UK)734 (US)660 (Turkey),,Harry Potter and the Prisoner of Azkaban,,,"Bloomsbury (UK, Canada)Scholastic (US)Raincoast Books (Canada (formerly))Yapı Kredi Yayınları (Turkey)",,,,8 July 2000,,,,,,,,,,,,,,,
Harry Potter and the Goblet of Fire (video game),https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Goblet_of_Fire_(video_game),,,,,,,,"EA UKMagic Pockets (GBA, DS)",,,,,,,,,,,Harry Potter and the Order of the Phoenix,,Action-adventure,,,,,,,,,,,,,,,,,,,Microsoft WindowsPlayStation 2Nintendo DSNintendo GameCubeXboxGame Boy AdvancePlayStation Portable,Harry Potter and the Prisoner of Azkaban,,,Electronic Arts,,,,,,8 November 2005 (NA)10 November 2005 (EU)PSP:15 November 2005 (NA)18 November 2005 (EU)26 November 2005 (JP)13 June 2006 (KR),,,,,,,,,,,,,
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,https://harrypotter.fandom.com/wiki/Fantastic_Beasts:_The_Crimes_of_Grindelwald_-_The_Original_Screenplay,,,,J. K. Rowling,,,Miraphora Mina and Eduardo Lima,,,,,,,,,,,,Fantastic Beasts: The Secrets of Dumbledore - The Complete Screenplay,,,,,,,,,,,,,,,,,,,,214,,Fantastic Beasts and Where to Find Them: The Original Screenplay,,,"Little, Brown (UK) Scholastic (US and Canada)",,,,16 November 2018 (US and UK),,,,,,,,,,,,,,,
Harry Potter and the Prisoner of Azkaban (video game),https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(video_game),,,,,,,,"KnowWonder, EA UK, Griptonite Games",,,,,,,,,,,Harry Potter and the Goblet of Fire,,Action-adventure,,,,,,,,,,,,,,,,,,,Microsoft WindowsPlayStation 2XboxGameCubeGame Boy Advance,Harry Potter and the Chamber of Secrets,,,Electronic Arts,,,,,,May-June 2004,,,,,,,,,,,,,
Harry Potter: Hogwarts Mystery,https://harrypotter.fandom.com/wiki/Harry_Potter:_Hogwarts_Mystery,,,,,,,,Jam City,,,,,,,,,,,,,Narrative role-playing,,,,,,,5.6.2,,,,,,,,,,,,Android 4.4 or lateriOS 10.0 or later,,,,Portkey Games,,,,,,25 April 2018,,,,,,,,,,,1 October 2025,,
Fantastic Beasts and Where to Find Them: The Original Screenplay,https://harrypotter.fandom.com/wiki/Fantastic_Beasts_and_Where_to_Find_Them:_The_Original_Screenplay,,,,J. K. Rowling,,,Miraphora Mina  Eduardo Lima,,,,,,,,,,,,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,,,,,,,,,,,,,,,,,,,,224 pages,,Pottermore Presents,,,Arthur A. Levine Books,,,,19 November 2016,,,,,,,,,,,,,,,
Harry Potter: Wizards Unite,https://harrypotter.fandom.com/wiki/Harry_Potter:_Wizards_Unite,,,,,,,,Niantic,,,,,,,,,,,,,Mobile AR,,,,,,,,,,,,,,,,,,,"Android 5+, iOS 9+",,,,Portkey Games,,,,,,20 June 2019(shut down 31 January 2022),,,,,,,,,,,,,
Harry Potter: Hogwarts Mystery,https://harrypotter.fandom.com/wiki/Harry_Potter:_Hogwarts_Mystery,,,,,,,,Jam City,,,,,,,,,,,,,Narrative role-playing,,,,,,,5.6.2,,,,,,,,,,,,Android 4.4 or lateriOS 10.0 or later,,,,Portkey Games,,,,,,25 April 2018,,,,,,,,,,,1 October 2025,,
Harry Potter: Wizards Unite,https://harrypotter.fandom.com/wiki/Harry_Potter:_Wizards_Unite,,,,,,,,Niantic,,,,,,,,,,,,,Mobile AR,,,,,,,,,,,,,,,,,,,"Android 5+, iOS 9+",,,,Portkey Games,,,,,,20 June 2019(shut down 31 January 2022),,,,,,,,,,,,,
Fantastic Beasts: The Crimes of Grindelwald,https://harrypotter.fandom.com/wiki/Fantastic_Beasts:_The_Crimes_of_Grindelwald,,,,,,$200 million,,,,David Yates,,,Warner Bros,,,,,,Fantastic Beasts: The Secrets of Dumbledore,,,$654.9 million,,,,,,,,,,,,James Newton Howard,,,,,,,Fantastic Beasts and Where to Find Them,David HeymanJ. K. RowlingSteve KlovesLionel Wigram,,,,12A,,,16 November 2018,,134 minutes141 minutes (extended),,,,,Eddie RedmayneKatherine WaterstonDan FoglerAlison SudolJude LawJohnny DeppEzra MillerZoë KravitzCallum TurnerClaudia KimWilliam NadylamPoppy Corby-TuechKevin GuthrieBrontis JodorowskyVictoria YeatesFiona GlascottCarmen Ejogo,,,,,,,J. K. Rowling
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonderbook: Book of Potions,https://harrypotter.fandom.com/wiki/Wonderbook:_Book_of_Potions,,,,,,,,Sony,,,,,,,,,,,,,Augmented reality book,,,,,,,,,,,,,,,,,,,PlayStation 3,,,,,,,,,,12 November 2013 (North America)15 November 2013 (Europe),,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Chamber of Secrets (video game),https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Chamber_of_Secrets_(video_game),,,,,,,,"KnowWonder, Eurocom, Griptonite, Argonaut",,,,,,,,,,,Harry Potter and the Prisoner of Azkaban,,"Action, Adventure",,,,,,,,,,,,,,,,,,,Microsoft WindowsMacPlaystationPlayStation 2XboxGameCubeGame Boy ColorGame Boy Advance,Harry Potter and the Philospher's Stone,,,Electronic Arts,,,,,,15 November 2002 (most platforms)10 April 2003 (Mac),,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter Trading Card Game,https://harrypotter.fandom.com/wiki/Harry_Potter_Trading_Card_Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Goblet of Fire,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Goblet_of_Fire,,,,J. K. Rowling,,,Giles Greenfield (UK)Jonny Duddle (UK) (Children's Edition redesign)Mary GrandPré (US)Kazu Kibuishi (US) (15th Anniversary Edition)Olly Moss (Pottermore eBook),,,,,,,,,,,,Harry Potter and the Order of the Phoenix,,,,,,,Mary GrandPré (US),,,,,,,,,Stephen Fry (UK)Jim Dale (US),,,,636 (UK)734 (US)660 (Turkey),,Harry Potter and the Prisoner of Azkaban,,,"Bloomsbury (UK, Canada)Scholastic (US)Raincoast Books (Canada (formerly))Yapı Kredi Yayınları (Turkey)",,,,8 July 2000,,,,,,,,,,,,,,,
Harry Potter and the Chamber of Secrets,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Chamber_of_Secrets,,,,J. K. Rowling,,,Cliff Wright (UK)Jonny Duddle (UK) (Children's Edition redesign)Levi Pinfold (UK) (20th Anniversary Edition)Mary GrandPré (US)Kazu Kibuishi (US) (15th Anniversary Edition)Jim Kay (Illustrated Edition)Olly Moss (Pottermore eBook),,,,,,,,,,,,Harry Potter and the Prisoner of Azkaban,,,,,,,Mary GrandPré (US)Levi Pinfold (UK) (20th Anniversary Edition)Jim Kay (Illustrated Edition),,,,,,,,,Stephen Fry (UK)Jim Dale (US),,,,360 (UK)341 (US)314 (Turkey),,Harry Potter and the Philosopher's Stone,,,"Bloomsbury (UK, Canada)Scholastic (US)Raincoast Books (Canada (formerly))Yapı Kredi Yayınları (Turkey)",,,,2 July 1998 (UK)2 June 1999 (US)1 May 2001 (Turkey),,,,,,,,,,,,,,,
Harry Potter and the Order of the Phoenix,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Order_of_the_Phoenix,,,,J. K. Rowling,,,Jason Cockcroft (UK)Jonny Duddle (UK) (Children's Edition redesign)Mary GrandPré (US)Kazu Kibuishi (US) (15th Anniversary Edition)Olly Moss (Pottermore eBook)Nicholas Filbert (Indonesia),,,,,,,,,,,,Harry Potter and the Half-Blood Prince,,,,,,,Mary GrandPré (US),,,,,,,,,Stephen Fry (UK)Jim Dale (US),,,,800 (UK)870 (US)1001 (SWE)893 (MX)1050 (FIN)990 (RO)1114 (Turkey)1203 (Indonesia),,Harry Potter and the Goblet of Fire,,,"Bloomsbury (UK, Canada)Scholastic (US)Raincoast Books (Canada (formerly))Salamandra (Mexico)Yapı Kredi Yayınları (Turkey))Penerbit Gramedia Pustaka Utama (Indonesia)",,,,21 June 2003January 2004 (Indonesia),,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonderbook: Book of Spells,https://harrypotter.fandom.com/wiki/Wonderbook:_Book_of_Spells,,,,,,,,Sony,,,,,,,,,,,,,Augmented reality book,,,,,,,,,,,,,,,,,,,PlayStation 3,,,,,,,,,,13 November 2012,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HarryPotter.com,https://harrypotter.fandom.com/wiki/Harry_Potter_(website),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pottermore,https://harrypotter.fandom.com/wiki/Pottermore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
